Autor_in	Lebensdaten
Hafner, Philipp	(1735–1764)
Hoffmann, E. T. A.	(1776–1822)
Ruederer, Josef	(1861–1915)
Aurbacher, Ludwig	(1784–1847)
Claudius, Matthias	(1740–1815)
Musäus, Johann Karl August	(1735–1787)
Puschmann, Adam	(1532–1600)
Fouqué, Friedrich de La Motte-	(1777–1843)
Lichtenstein, Alfred	(1889–1915)
Busoni, Ferruccio	(1866–1924)
Otto-Peters, Louise	(1819–1895)
Musset, Alfred de	(1810–1857)
Vergilius Maro, Publius	(70 v. Chr. – 19 v. Chr.)
Schwab, Gustav	(1792–1850)
Bernard, Joseph Carl	(1781–1850)
Euripides	(um 480–406 v. Chr.)
Wildgans, Anton	(1881–1932)
Heyking, Elisabeth von	(1861–1925)
Franul von Weißenthurn, Johanna	(1772–1847)
Weissmann, Maria Luise	(1899–1929)
Schlegel, August Wilhelm von	(seit 1815: von Schlegel) (1767–1845)
Multatuli	(1820–1887)
Czepko, Daniel von	(1605–1660)
Büchner, Georg	(1813–1837)
Iuvenalis, Decimus Iunius	(um 55–130 n. Chr.)
Wobeser, Wilhelmine Karoline von	(1769–1807)
Eichendorff, Joseph von	(1788–1857)
Hauff, Wilhelm	(1802–1827)
Schmeltzl, Wolfgang	(nach 1500–um 1561)
Kotzebue, August von	(1761–1819)
Grimm, Jacob	(1785–1863) (1786–1858)
Castelli, Ignaz Franz	(1781–1862)
Schaefer, Wilhelm	(1781–1831)
Verlaine, Paul	(1844–1896)
Hofmannsthal, Hugo von	(1874–1929)
Rückert, Friedrich	(1788–1866)
Petőfi, Sándor	(1823–1849)
Calderón de la Barca, Pedro	(1600–1681)
Christen, Ada	(1839–1901)
Liebeskind, Dorothea Margaretha	(1765–1853)
Carroll, Lewis	(1832–1898)
Immermann, Karl Leberecht	(1796–1840)
Verne, Michel	(1861–1925)
Gottsched, Johann Christoph	(1700–1766)
Gottsched, Luise Adelgunde Victorie	(1713–1762)
Ḥāfiẓ	(1324/1326–1389/1390)
Hoyer, Anna Ovena	(1584–1655)
Bruckbräu, Friedrich Wilhelm	(1792–1874)
Schlegel, Friedrich von	(1772–1829)
Otto, Ludwig	(1813–1865)
Zinzendorf, Nikolaus Ludwig von	(1700–1760)
Blumenthal, Oscar	(1852–1917)
Schönwerth, Franz Xaver von	(1810–1886)
Ratschky, Joseph Franz	(1757–1810)
Kolroß, Johannes	(vor 1490–1558 oder 1560)
Benedix, Roderich	(1811–1873)
Soden, Julius von	(1754–1831)
Dauthendey, Max	(1867–1918)
Sack, Gustav	(1885–1916)
Gerstenberg, Heinrich Wilhelm von	(1737–1823)
Schikaneder, Emanuel	(1751–1812)
Byron, George Gordon Byron, Baron	(1788–1824)
Jacoby, Leopold	(1840–1895)
Glorez, Andreas	(ca. 1620–ca. 1700)
Glaßbrenner, Adolf	(1810–1876)
Spindler, Karl	(1796–1855)
Müllner, Adolph	(1774–1829)
Laurentius, von Schnüffis	(1633–1702)
Goldoni, Carlo	(1707–1793)
