Autor_in	Lebensdaten
Vulpius, Christian August	(1762–1827)
Saʿdī	(1200–1290)
Egenolff, Christian	(1502–1555)
Mylius, Christlob	(1722–1754)
Platen-Hallermunde, August von	(1796–1835)
Liliencron, Detlev von	(1844–1909)
Simrock, Karl	(1802–1876)
Ebner-Eschenbach, Marie von	geb. Freiin von Dubsky (seit 1843 Gräfin) (1830–1916)
Hölderlin, Friedrich	(1770–1843)
Bräker, Ulrich	(1735–1798)
Engel, Johann Jakob	(1741–1802)
Ariosto, Ludovico	(1474–1533)
Cornelius, Peter	(1824–1874)
Pröhle, Heinrich	(1822–1895)
Denis, Michael	(1729–1800)
Schreger, Odilo	(1697–1774)
Dehmel, Richard	(1863–1920)
Wildermuth, Ottilie	(1817–1877)
Mitternacht, Johann Sebastian	(1613–1679)
Wagner, Richard	(1813–1883)
Abraham, a Sancta Clara	(1644–1709)
Löhr, Johann Andreas Christian	(1764–1823)
Tolstoj, Lev Nikolaevič	(1828–1910)
Voß, Johann Heinrich	(1751–1826)
Kleist, Ewald Christian von	(1715–1759)
Nietzsche, Friedrich	(1844–1900)
Heyse, Paul	(1830–1914)
Heinse, Wilhelm	(1746–1803)
Bunge, Rudolf	(1836–1907)
Dovsky, Beatrice	(1866–1923)
Jacoby, Wilhelm	(1855–1925)
Herder, Johann Gottfried von	(1744–1803)
Müller, Johann Gottwerth	(1743–1828)
Ruppius, Otto	(1819–1864)
Malss, Karl	(1855–1925)
Meisel-Hess, Grete	(1879–1922)
Neukirch, Benjamin	(1665–1729)
Hebel, Johann Peter	(1760–1826)
Gotter, Friedrich Wilhelm	(1746–1797)
Grillparzer, Franz	(1791–1872)
Blankenburg, Christian Friedrich von	(1744–1796)
Wackenroder, Wilhelm Heinrich	(1773–1798)
Panizza, Oskar	(1853–1921)
Gehe, Eduard Heinrich	(1793–1850)
Hackländer, Friedrich Wilhelm	(1816–1877)
Weerth, Georg	(1822–1856)
Waldis, Burkhard	(1490/1495–1556)
Hebbel, Friedrich	(1813–1863)
Brantôme, Pierre de Bourdeille de	(1540–1614)
Braun, Lily	(1865–1916)
Sachs, Hans	(1494–1576)
Schmid, Ferdinand von	(1823–1888)
Flaubert, Gustave	(1821–1880)
Tucholsky, Kurt	(1890–1935)
Boie, Heinrich Christian	(1744–1806)
