wort,hitler,trump,biden,bush,obama
bigger,2,181,14,2,23
biggest,1,295,22,3,22
bill,2,212,262,84,129
billion,1,717,149,34,46
birthday,1,18,12,1,3
bit,4,213,43,1,12
bitter,33,2,4,1,3
black,20,87,55,1,28
blame,15,43,2,3,11
bless,2,79,61,35,74
blessed,2,2,1,7,6
blessing,13,1,1,2,7
block,1,16,17,3,9
blood,123,68,8,7,22
bloody,4,2,6,1,5
blow,25,50,3,7,11
blue,2,37,17,1,8
board,3,48,32,8,7
body,121,28,5,14,11
bold,3,9,5,3,10
bomb,2,37,4,8,9
bond,6,8,1,3,14
book,48,35,13,2,6
booming,1,3,1,1,4
border,2,1093,36,101,60
born,33,24,12,13,30
borrow,1,5,4,1,1
bos,1,19,1,1,5
bottom,2,42,50,3,13
bought,5,49,6,2,9
bound,67,5,5,6,14
boy,42,68,15,8,14
branch,29,10,3,5,2
brand,3,61,1,2,3
brave,6,55,16,15,15
bravely,1,4,4,2,2
break,37,98,36,16,52
breaking,9,24,7,2,3
breast,2,1,2,1,3
bridge,2,2,94,3,42
brief,2,2,6,2,5
bright,1,2,1,2,4
brilliant,14,70,3,1,2
bring,86,218,70,63,79
bringing,27,71,24,10,18
brings,16,10,9,12,15
brink,2,5,4,1,7
british,74,1,1,5,5
broad,83,3,11,11,14
broader,1,1,3,17,21
broke,29,92,5,4,10
broken,40,54,8,8,29
brother,3,13,29,2,23
brought,79,141,26,23,33
brutal,21,24,4,11,3
brutality,5,1,3,5,1
budget,1,15,6,33,71
build,17,177,262,70,111
building,49,186,80,23,56
built,14,257,72,8,73
bullet,4,9,7,3,9
bully,1,7,1,2,2
burden,14,3,16,12,40
burn,2,29,8,2,2
burning,4,20,10,3,2
business,42,232,125,63,338
busy,8,14,4,1,5
buy,2,143,26,16,31
buying,2,42,8,3,12
cabinet,11,3,11,7,2
call,76,624,100,40,67
called,112,415,59,38,45
calling,17,74,21,18,8
came,122,757,92,26,67
camp,20,7,4,19,4
campaign,31,223,10,16,38
candidate,4,157,7,4,13
cannot,184,147,39,34,120
capability,13,11,13,8,11
capable,70,18,9,13,2
capacity,37,10,50,4,38
capital,32,83,18,15,14
capture,1,3,3,1,6
captured,1,1,2,12,4
car,1,276,29,17,45
card,4,16,10,12,16
care,26,292,161,101,259
cared,4,4,2,2,3
career,18,49,19,10,24
careful,13,55,6,3,4
carefully,27,6,5,6,7
caring,3,1,7,7,4
carried,83,10,6,8,17
carry,64,26,18,17,21
carrying,20,9,15,4,4
case,252,369,95,28,38
cast,11,94,7,4,15
catch,2,128,4,8,7
category,6,18,5,1,1
catholic,24,56,6,2,2
caught,2,115,6,3,5
cause,157,24,29,68,50
caused,23,61,22,6,7
celebrate,2,10,9,3,8
celebration,4,1,2,3,4
cell,6,5,8,74,8
central,32,32,13,9,20
century,65,16,84,41,105
