Wort,Trump,Hitler,Biden,Bush,Obama
bigger,181,2,14,2,23
biggest,295,1,22,3,22
bill,212,2,262,84,129
billion,717,1,149,34,46
birthday,18,1,12,1,3
bit,213,4,43,1,12
bitter,2,33,4,1,3
black,87,20,55,1,28
blame,43,15,2,3,11
bless,79,2,61,35,74
blessed,2,2,1,7,6
blessing,1,13,1,2,7
block,16,1,17,3,9
blood,68,123,8,7,22
bloody,2,4,6,1,5
blow,50,25,3,7,11
blue,37,2,17,1,8
board,48,3,32,8,7
body,28,121,5,14,11
bold,9,3,5,3,10
bomb,37,2,4,8,9
bond,8,6,1,3,14
book,35,48,13,2,6
booming,3,1,1,1,4
border,1093,2,36,101,60
born,24,33,12,13,30
borrow,5,1,4,1,1
bos,19,1,1,1,5
bottom,42,2,50,3,13
bought,49,5,6,2,9
bound,5,67,5,6,14
boy,68,42,15,8,14
branch,10,29,3,5,2
brand,61,3,1,2,3
brave,55,6,16,15,15
bravely,4,1,4,2,2
break,98,37,36,16,52
breaking,24,9,7,2,3
breast,1,2,2,1,3
bridge,2,2,94,3,42
brief,2,2,6,2,5
bright,2,1,1,2,4
brilliant,70,14,3,1,2
bring,218,86,70,63,79
bringing,71,27,24,10,18
brings,10,16,9,12,15
brink,5,2,4,1,7
british,1,74,1,5,5
broad,3,83,11,11,14
broader,1,1,3,17,21
broke,92,29,5,4,10
broken,54,40,8,8,29
brother,13,3,29,2,23
brought,141,79,26,23,33
brutal,24,21,4,11,3
brutality,1,5,3,5,1
budget,15,1,6,33,71
build,177,17,262,70,111
building,186,49,80,23,56
built,257,14,72,8,73
bullet,9,4,7,3,9
bully,7,1,1,2,2
burden,3,14,16,12,40
burn,29,2,8,2,2
burning,20,4,10,3,2
business,232,42,125,63,338
busy,14,8,4,1,5
buy,143,2,26,16,31
buying,42,2,8,3,12
cabinet,3,11,11,7,2
call,624,76,100,40,67
called,415,112,59,38,45
calling,74,17,21,18,8
came,757,122,92,26,67
camp,7,20,4,19,4
campaign,223,31,10,16,38
candidate,157,4,7,4,13
cannot,147,184,39,34,120
capability,11,13,13,8,11
capable,18,70,9,13,2
capacity,10,37,50,4,38
capital,83,32,18,15,14
capture,3,1,3,1,6
captured,1,1,2,12,4
car,276,1,29,17,45
card,16,4,10,12,16
care,292,26,161,101,259
cared,4,4,2,2,3
career,49,18,19,10,24
careful,55,13,6,3,4
carefully,6,27,5,6,7
caring,1,3,7,7,4
carried,10,83,6,8,17
carry,26,64,18,17,21
carrying,9,20,15,4,4
case,369,252,95,28,38
cast,94,11,7,4,15
catch,128,2,4,8,7
category,18,6,5,1,1
catholic,56,24,6,2,2
caught,115,2,6,3,5
cause,24,157,29,68,50
caused,61,23,22,6,7
celebrate,10,2,9,3,8
celebration,1,4,2,3,4
cell,5,6,8,74,8
central,32,32,13,9,20
century,16,65,84,41,105
certain,133,239,30,20,39
certainly,45,55,2,2,13
chain,50,6,50,1,2
chair,47,5,20,2,3
chairman,39,21,24,14,5
chamber,3,10,16,19,35
champion,40,42,7,1,2
chance,117,38,71,30,106
change,151,79,164,57,240
changed,69,19,31,16,24
changing,26,9,29,9,11
chaos,26,6,8,18,4
chapter,2,4,3,5,13
character,5,143,8,36,24
charge,183,12,20,10,16
charged,34,2,2,6,11
cheaper,13,1,8,1,6
check,84,7,27,9,24
cherished,10,4,2,2,3
chief,31,41,28,15,13
child,329,63,361,196,269
china,1048,1,65,12,34
choice,180,10,36,58,77
choose,4,10,22,28,60
chose,4,10,3,4,6
chosen,1,35,2,9,6
christian,40,21,3,2,17
christmas,44,1,18,3,2
church,32,36,11,9,29
circle,27,95,2,1,3
circumstance,13,57,46,9,14
citizen,186,67,42,165,135
citizenship,25,11,3,14,23
city,408,77,55,55,41
civic,5,11,1,6,3
civil,40,33,46,8,44
civilian,10,3,28,21,35
claim,13,26,19,10,25
class,80,165,95,12,81
clean,81,1,76,13,72
clear,45,83,116,59,100
cleared,2,4,2,4,1
clearly,4,58,16,7,8
climate,31,6,171,3,35
climb,12,2,2,2,7
close,250,27,74,7,39
closed,60,4,13,2,14
closely,20,7,23,12,4
closer,20,10,19,7,9
closing,20,1,11,2,5
coal,30,5,19,3,9
coalition,10,25,7,50,23
coast,26,2,16,29,14
code,7,6,25,10,29
cold,55,9,13,8,17
collapse,13,69,4,8,5
colleague,3,3,31,1,10
collect,3,5,4,2,3
collective,1,2,19,1,13
college,44,4,60,19,145
combat,8,12,12,14,35
combined,16,13,28,3,4
come,1125,186,263,136,280
coming,707,27,86,52,58
command,3,16,5,5,2
commander,11,3,27,21,4
commerce,1,11,9,3,18
commission,8,2,14,4,16
commit,9,5,11,7,12
committed,22,19,28,15,23
committee,73,37,24,6,10
committing,5,1,8,2,2
common,88,109,13,25,97
communication,2,3,11,8,2
communist,134,9,1,1,1
community,92,109,180,57,176
company,188,19,94,27,191
compare,12,11,1,2,1
compared,53,20,5,2,5
compete,11,5,34,12,28
competent,10,10,1,1,3
competition,19,5,31,6,30
competitive,5,1,22,13,18
competitor,7,3,10,1,6
complacent,2,1,3,1,2
complete,49,42,12,10,20
completed,26,11,2,1,5
completely,52,56,12,3,3
complex,14,2,5,6,9
comprehensive,6,8,6,26,30
concentrated,2,16,1,1,3
concern,4,22,27,8,33
concerned,25,42,8,11,7
conclude,2,4,5,2,2
concluded,2,7,5,5,1
conclusion,34,29,3,5,3
condemn,7,4,2,2,3
condition,42,173,27,16,32
conduct,5,53,5,12,8
conducted,8,16,1,3,3
conducting,3,6,3,4,2
conference,15,3,9,4,8
confidence,38,28,15,27,40
confident,17,3,16,21,22
confirm,6,7,1,1,3
confirmed,9,8,16,3,3
conflict,9,62,29,25,55
confront,6,1,10,33,17
confronted,3,11,1,7,5
congratulation,51,1,5,1,3
congress,237,3,90,183,213
conscience,3,18,2,19,7
consensus,2,1,18,1,13
consequence,8,88,33,21,21
conservative,121,8,3,7,4
consider,43,56,5,13,26
considered,39,99,4,4,5
conspiracy,5,4,2,2,1
constant,3,18,14,2,17
constantly,7,28,5,2,3
constitution,80,25,18,15,15
constitutional,23,9,3,6,7
construction,19,5,6,2,22
constructive,1,14,3,1,7
consumer,4,1,23,9,25
contact,1,21,20,1,1
contained,1,5,3,2,3
content,19,27,2,2,2
contest,16,3,2,3,6
context,1,1,3,2,7
continent,20,18,2,11,11
continue,95,49,162,91,106
continued,8,25,18,8,14
continues,12,2,18,13,15
continuing,9,3,29,8,7
contract,5,3,4,2,3
contrary,2,68,1,2,6
contrast,13,15,1,1,2
contribute,1,9,4,7,9
contributed,1,11,1,1,4
contribution,7,9,10,12,7
control,126,40,30,32,38
conversation,42,1,23,1,20
conviction,7,71,4,15,16
convince,9,6,5,3,5
convinced,4,46,12,1,13
cool,13,4,1,1,3
cooperation,2,7,24,12,23
coordinate,2,1,4,3,2
core,7,1,11,2,20
corner,30,6,8,5,16
corp,5,5,13,22,6
corporate,5,2,21,5,17
corporation,6,2,65,3,19
correct,41,26,5,6,1
corrupt,358,8,3,1,3
corruption,53,9,11,6,14
cost,150,23,216,44,155
costly,5,1,1,1,14
could,944,560,158,90,172
council,6,10,16,39,9
count,46,18,14,2,7
counted,49,6,7,2,2
counter,9,6,4,3,3
counterpart,1,4,3,3,4
counting,32,3,10,1,3
country,3670,168,516,319,515
couple,192,7,31,5,29
courage,77,57,35,46,57
courageous,11,11,5,5,1
course,122,207,26,41,70
court,273,20,60,14,40
cover,38,8,27,5,15
covered,35,6,9,5,5
crack,13,2,2,1,3
crash,15,1,9,3,1
create,17,22,65,44,93
created,91,45,41,22,48
creating,18,7,34,16,23
creation,11,17,23,5,14
creator,1,15,5,4,5
credit,87,5,65,34,59
crew,6,2,9,1,2
crime,370,20,20,13,10
criminal,271,46,10,14,20
crisis,34,6,108,36,102
critic,3,3,2,9,5
critical,73,15,72,14,22
criticism,2,19,1,6,2
cross,10,4,16,14,10
crossed,27,1,1,3,6
crossing,15,4,2,11,6
crowd,188,22,7,2,5
crowded,13,3,6,1,2
cruel,8,4,4,1,1
cure,10,8,5,10,7
current,19,18,12,23,15
custom,3,10,1,7,2
cut,344,9,117,42,161
daily,5,50,5,8,14
damage,71,18,45,2,9
damaged,1,1,6,5,1
danger,60,79,12,63,28
dangerous,152,28,43,26,18
dare,2,11,5,1,1
dark,16,10,6,6,6
darkest,1,1,2,3,5
darkness,1,3,5,1,7
data,8,3,27,1,4
date,35,15,8,7,8
daughter,31,3,42,6,32
david,125,2,5,5,6
day,1041,283,332,142,215
de,12,4,1,2,5
dead,131,24,12,6,6
deadly,45,7,6,8,3
deal,724,45,143,20,47
dealing,60,26,38,6,10
dealt,22,24,10,2,7
dear,8,3,7,3,1
dearly,3,5,2,1,1
death,168,52,33,32,19
debate,110,7,19,26,102
debated,3,1,7,1,9
debt,59,3,79,10,62
decade,104,12,78,36,143
december,5,5,7,1,7
decency,1,4,10,6,10
decent,5,16,24,14,20
decide,20,27,9,3,12
decided,60,50,19,8,16
decimated,24,1,1,2,1
decision,127,78,56,62,66
decisive,1,26,9,11,5
declaration,2,6,21,5,6
declared,13,22,3,15,10
decline,40,27,7,6,11
declining,1,1,4,3,4
decrease,4,3,3,1,1
dedicated,2,2,6,5,4
deemed,1,5,1,1,1
deep,78,6,14,15,17
deeper,4,10,1,4,10
deepest,6,2,1,8,3
deeply,5,17,9,8,12
defeat,71,29,9,22,20
defeated,69,6,8,10,2
defend,169,48,39,51,30
defended,11,7,2,7,3
defending,32,14,15,5,4
define,8,2,5,5,14
defined,3,8,4,4,18
degree,23,63,32,1,20
delay,16,2,12,3,7
deliver,19,5,38,14,20
delivered,18,21,14,10,7
delivering,13,6,14,6,1
demand,18,66,14,41,35
demanded,4,17,1,3,2
demanding,13,2,2,4,7
