wort,hitler,obama
function,29,7
functioning,1,1
fund,12,23
fundamental,77,21
fundamentally,29,2
funeral,3,1
funny,1,2
furious,5,2
furthermore,16,2
future,185,272
g,1,7
gain,37,14
gained,46,7
gaining,7,1
game,11,14
gang,9,2
gap,1,16
gaping,1,1
gas,5,56
gasping,1,1
gate,2,5
gather,6,14
gathered,8,9
gathering,7,2
gave,56,34
general,207,19
generally,55,3
generation,53,149
generous,3,6
genius,57,1
gentle,1,2
gentleman,30,1
genuine,16,4
genuinely,9,2
george,3,22
german,861,2
germany,311,7
gesture,4,2
get,44,366
getting,14,61
giant,4,2
gift,29,14
gifted,9,1
girl,14,24
give,116,213
given,89,48
giving,22,31
glad,1,5
gladly,3,4
glass,1,3
glimpse,1,1
globe,12,32
glorious,8,4
glory,14,3
go,77,178
goal,44,72
god,31,123
going,12,322
gold,7,2
golden,1,4
gone,17,26
good,118,236
goodness,1,5
goodwill,7,2
gospel,2,3
got,20,191
govern,2,12
governed,10,4
governing,10,3
government,152,272
grab,1,3
grace,3,47
grade,8,4
gradual,10,4
gradually,93,3
grain,2,2
grand,4,1
grandchild,1,15
grande,1,4
grant,8,11
granted,14,9
grasp,17,3
grasping,1,1
grateful,8,21
gratitude,4,9
grave,29,3
gravest,1,1
great,366,139
greater,69,49
greatest,54,34
greatly,4,1
greatness,40,6
greed,4,1
green,1,5
greeted,4,1
greeting,2,2
grew,22,11
grey,1,1
grief,1,9
grievance,4,4
grin,1,1
grip,9,5
grit,1,9
gross,4,2
ground,70,39
grounded,14,4
groundwork,5,1
group,101,41
grow,17,63
growing,16,66
grown,17,11
grownup,1,1
grows,7,11
growth,18,75
gruesome,1,1
guarantee,36,13
guaranteed,15,3
guaranteeing,2,2
guard,23,7
guarded,1,1
guardian,4,2
guarding,1,2
guest,4,8
guidance,3,1
guide,5,12
guided,4,8
guiding,13,1
gulf,7,19
gun,6,49
gutter,5,1
habit,25,3
hail,2,1
half,28,55
halfway,3,4
hall,69,18
hallmark,2,3
halt,2,2
hammered,2,1
hamper,3,1
hampered,4,1
hand,230,63
handed,4,1
handful,6,7
handle,2,4
hanging,1,1
happen,36,65
happened,42,36
happening,14,16
happens,25,25
happiness,8,11
happy,16,8
hard,38,158
harden,2,1
hardened,6,2
harder,3,40
hardest,3,6
hardship,7,21
hardworking,2,22
harm,8,18
harmful,7,1
harmless,5,1
harmony,8,2
harness,1,11
harsh,7,2
hast,1,1
hasten,4,1
hatched,1,1
hate,12,13
hated,14,4
hatred,35,10
head,40,22
headed,2,2
headquarters,4,1
heal,1,3
healed,1,1
healing,1,2
health,18,252
healthier,3,7
healthiest,2,1
healthy,29,19
hear,8,45
heard,20,39
hearing,5,13
hears,5,1
heart,83,53
heartache,1,2
heat,3,5
heated,3,3
heaven,22,4
heavenly,1,2
heavier,1,1
heaviest,4,3
heavily,4,1
heavy,11,6
heckler,1,1
heed,1,2
heel,2,1
height,6,6
heightened,1,1
heir,2,3
held,69,29
hell,4,1
help,67,270
helped,20,48
helpful,2,1
helping,6,48
hence,47,2
heritage,6,4
hero,28,13
heroic,37,7
heroism,12,3
hesitate,4,7
hesitation,8,1
hidden,9,5
hide,2,2
high,53,68
higher,95,72
highest,54,25
highly,18,5
highness,1,1
highway,1,9
hill,1,8
hinder,13,3
hint,1,1
hire,1,33
hired,2,3
historic,2,14
historical,36,3
history,142,148
hit,8,25
hitler,1,2
hold,83,65
holder,1,3
holding,26,11
hollow,3,1
holocaust,1,4
holy,3,13
home,95,212
homeland,2,16
homeless,1,3
honest,39,24
honestly,6,8
honesty,13,4
honorary,1,2
hope,55,138
hoped,21,3
hopeful,1,29
hopeless,9,3
hoping,5,5
horizon,7,8
horn,2,2
horror,12,5
horse,8,2
hospital,12,19
hospitality,3,2
host,5,3
hostile,22,4
hostility,12,4
hot,1,3
hotel,2,1
hour,73,27
house,42,88
household,1,12
housing,2,27
houston,1,1
however,114,8
hub,1,6
huddled,1,4
huge,9,24
human,209,114
humanitarian,3,5
humanity,41,17
humble,4,2
humblest,1,1
humiliation,7,4
humility,1,10
hundred,109,41
hunger,17,3
hungry,4,5
hunter,1,2
hunting,2,1
hurried,2,1
hurry,1,1
hurt,1,17
husband,5,5
hybrid,5,1
hymn,1,1
hypocrisy,6,5
hypothetical,1,1
i,2,21
idea,294,181
ideal,157,40
idealism,14,4
idealist,7,1
identified,3,4
identify,5,2
identifying,1,3
identity,3,7
ideological,9,5
ideology,18,11
idle,3,2
ignorance,15,3
ignorant,13,1
ignore,5,12
ignored,15,4
ignores,2,2
ii,6,15
iii,2,1
ill,7,30
illegal,3,13
illegally,1,9
illness,5,9
illusion,14,3
illustrates,1,1
im,1,110
image,9,6
imaginary,1,1
imagination,7,10
imagine,26,18
imagined,8,9
immeasurable,1,2
immediate,13,7
immediately,37,4
immigrant,1,55
imminent,2,3
immutable,1,1
impact,1,22
impartial,6,1
impede,5,1
impeding,1,1
imperative,5,9
imperfect,1,3
impetus,1,1
implement,1,2
implication,1,1
importance,132,2
important,99,110
impose,10,8
imposed,13,5
imposing,7,2
imposition,4,1
impossible,79,5
impress,4,1
impressive,7,2
imprisoned,1,3
improve,8,33
improved,3,7
improvement,9,8
improving,3,4
impulse,8,2
impunity,1,1
inability,6,1
inaction,1,7
inadequate,11,2
inalienable,1,4
incapable,23,1
incident,3,2
incite,1,1
include,7,5
included,7,3
includes,6,20
including,9,60
inclusion,1,1
income,1,44
incompatible,2,2
incomplete,1,3
incorporated,9,1
increase,56,38
increased,41,20
increasing,33,8
increasingly,4,6
incredible,20,17
incredibly,4,2
incumbent,5,2
indeed,97,13
indefinite,3,1
indefinitely,7,2
independence,39,14
independent,29,24
indescribable,1,1
india,11,9
indian,3,1
indicate,1,2
indicated,8,2
indicates,3,2
indifference,13,2
indignation,17,1
indispensable,16,5
individual,284,65
individualism,1,1
individually,1,2
indivisible,2,3
inducing,1,1
indulge,5,1
industrial,14,2
industry,17,84
ineffective,9,2
inefficiency,4,1
inefficient,6,2
inequality,1,37
inertia,7,1
inevitable,20,6
inevitably,12,6
inexhaustible,5,1
inextricably,1,4
infant,1,3
infect,3,1
infected,7,2
infection,7,1
inflation,3,2
inflection,1,2
inflict,1,1
inflicting,1,2
influence,103,17
influenced,13,1
influx,4,1
inform,1,2
information,17,33
informed,14,6
ingenuity,1,5
inherent,11,6
inherited,2,6
inhumane,1,1
initial,3,1
initiative,8,25
injured,3,1
injury,2,1
injustice,5,7
inner,82,6
innocent,8,31
innovation,3,55
insecure,2,1
insecurity,5,2
inside,2,8
insight,30,3
insist,5,21
insisted,1,6
insistence,1,7
insisting,8,1
insists,2,4
inspiration,8,7
inspire,7,8
inspired,29,15
inspires,1,3
inspiring,4,3
instance,39,4
instantly,1,1
instead,50,61
instilled,1,1
instilling,1,1
instinct,87,6
instinctively,4,1
institute,2,4
institution,99,37
instructed,4,2
instruction,23,4
instrument,43,6
instrumental,1,1
insufficient,7,2
insult,5,2
integrates,1,1
intellect,15,3
intellectual,116,3
intelligence,40,15
intelligent,15,2
intend,4,20
intended,13,3
intends,1,1
intense,2,1
intensify,3,1
intensity,1,1
intent,4,2
intention,46,7
interest,215,104
interested,12,9
interesting,4,2
interfere,6,1
interference,3,1
interior,4,5
internally,7,1
international,72,61
internationally,1,1
interpret,1,3
interpretation,5,1
interprets,1,1
interrupt,2,1
intervene,4,1
intervention,6,3
intimidation,6,2
intolerable,5,1
intolerance,6,4
introduce,9,1
introduced,23,2
introduces,1,1
introduction,5,3
introspection,1,1
invaded,3,1
invaluable,1,1
invent,1,3
invented,1,2
invention,26,2
inventive,2,1
inventor,7,5
invest,1,61
invested,7,5
investigating,3,1
investigation,3,1
investing,1,14
invite,1,2
invited,3,2
invoked,1,1
involve,3,5
involved,10,18
involves,1,2
iron,16,9
ironic,1,1
irrational,1,1
irresponsibility,1,1
irresponsible,5,5
is,1,3
island,1,11
isolated,8,11
isolating,1,3
isolation,1,11
israel,1,122
issue,19,159
issued,2,3
issuing,1,3
italian,14,2
item,2,1
january,8,9
japan,12,5
japanese,13,2
jealous,1,2
jeopardy,1,3
jew,325,16
jewish,142,24
job,17,518
join,31,37
joined,18,20
joining,5,4
joint,1,5
joke,3,2
joseph,4,1
journal,1,1
journalist,4,1
journey,2,34
journeyed,1,1
joy,10,6
judaism,4,1
judge,16,25
judged,15,4
judging,6,1
judgment,26,10
july,5,9
justice,32,69
justified,14,6
justify,6,6
keen,3,2
keenly,1,1
keep,40,176
keeping,13,18
ken,1,4
kept,26,22
key,5,13
kick,2,4
kill,1,22
killed,5,33
kind,182,81
kindly,6,1
kindness,3,8
king,8,19
kingdom,1,12
knee,4,2
knew,36,28
knight,3,2
knock,3,2
knocked,1,1
know,119,473
knowing,9,26
knowledge,97,10
known,25,48
lack,99,15
ladder,3,14
lag,2,1
laid,35,20
lance,1,2
land,21,40
landed,1,5
language,63,2
lapse,3,1
large,61,18
largely,6,2
larger,23,17
largescale,1,2
largest,8,36
last,139,228
lasting,7,28
late,15,9
later,110,28
latest,3,3
latin,3,1
laughter,1,3
launch,3,16
launched,5,15
law,92,176
lawyer,2,4
lay,49,27
laying,3,10
le,128,87
lead,81,106
leader,166,134
leadership,34,82
leading,24,16
leaf,10,4
league,38,5
lean,1,1
learn,29,25
learned,46,28
learning,19,13
least,130,33
leave,35,45
leaving,14,8
lech,3,1
led,66,50
left,90,40
leg,1,5
legal,5,16
legally,1,6
legend,2,1
legendary,1,1
legislation,7,28
legislative,8,5
legitimate,2,20
leisure,1,1
lend,7,6
lending,1,13
length,4,3
lessen,3,3
lesson,32,19
let,45,323
letter,12,24
level,73,38
liable,4,1
liberal,7,5
liberalism,1,2
liberate,5,3
liberation,8,1
liberty,31,33
library,1,3
lie,73,20
life,313,257
lifeblood,1,2
lifetime,2,11
lift,5,21
lifted,1,12
lifting,2,4
light,54,22
lightly,3,3
like,113,362
liked,8,1
likely,10,15
likewise,3,6
liking,4,1
limb,3,4
limit,22,20
limitation,3,1
limited,29,6
limiting,1,1
line,75,63
lined,2,3
link,2,3
linked,2,4
lip,1,2
list,5,5
listen,9,17
listened,6,1
listening,1,12
literally,1,1
little,121,60
live,45,103
lived,22,17
lively,3,3
living,37,54
load,1,3
loaf,1,1
loan,3,37
lobby,1,2
local,14,32
locate,2,4
lock,1,4
locked,1,4
lodged,1,1
logic,6,4
london,2,7
lone,1,1
long,185,155
longer,102,50
longing,13,5
longstanding,1,3
look,73,131
looked,88,11
looking,13,47
loose,6,2
lord,11,3
lose,20,47
loses,9,3
losing,14,17
loss,25,15
lost,71,72
lot,23,117
louder,1,2
love,41,81
loved,6,23
loving,1,2
low,13,12
lower,36,37
lowered,4,1
lowering,2,4
lowest,8,10
loyal,12,2
loyalty,12,4
luck,8,9
lucky,4,4
lurked,1,1
luther,1,6
luxury,1,5
lying,13,3
machine,5,2
mad,2,1
made,288,212
magic,13,1
magnet,1,5
magnetic,2,1
magnificent,16,1
magnitude,5,4
mailed,1,1
main,28,10
maintain,33,15
maintained,21,2
maintaining,12,4
maintenance,19,1
majestic,1,1
majesty,7,2
major,3,21
majority,80,30
make,257,567
maker,1,2
makeshift,1,2
making,61,129
male,4,3
malevolent,1,1
malice,2,2
malicious,4,1
malpractice,1,5
man,264,71
manage,2,8
managed,6,2
management,8,3
manager,1,4
managing,1,2
manchester,1,1
mandate,2,3
manifest,24,3
manifestation,26,1
manifested,15,1
mankind,48,3
manned,1,1
manner,66,5
manual,23,1
manufacture,1,4
manufactured,1,1
manufacturer,1,13
manufacturing,1,34
many,190,277
map,2,3
mapping,1,1
marathon,1,1
marble,1,1
march,25,20
marched,6,11
marching,4,5
mark,15,13
marked,7,2
market,7,101
marriage,19,11
married,3,4
marry,1,6
martin,2,14
martyr,2,1
mass,287,22
master,59,4
mastering,3,1
mastery,5,2
match,2,8
mate,9,1
material,63,16
matter,168,84
max,2,4
maximum,3,1
may,411,164
maybe,2,26
mayor,2,20
meal,4,1
mean,301,149
meaning,44,12
meant,58,19
meantime,2,5
meanwhile,8,19
measure,102,35
measured,6,5
mechanic,4,1
mechanism,7,2
medal,1,1
medical,5,28
medicine,1,9
medium,8,9
meet,23,106
meeting,211,30
melt,1,1
member,172,85
membership,20,1
memorial,2,3
memory,35,19
men,279,122
menacing,1,1
mental,41,8
mention,7,3
mentioned,30,6
mercy,4,2
mere,50,6
merely,108,7
merit,11,6
merited,1,1
mess,1,4
message,8,28
met,12,35
meter,1,1
method,67,1
mexico,1,7
middle,21,107
midst,9,12
might,213,73
mighty,12,1
migration,2,1
military,132,101
milk,2,3
million,87,201
mind,153,39
mine,5,8
mingle,1,1
minimum,3,28
minister,11,11
ministry,2,2
minority,7,16
minute,19,9
miracle,8,1
mirror,1,1
misfortune,31,3
misleading,1,1
misled,9,1
mismanagement,1,2
miss,1,1
missed,3,2
missing,2,1
mission,39,54
mistake,46,24
misunderstanding,3,1
mix,4,4
mixed,10,2
mob,14,1
mock,2,1
model,11,10
moderate,5,2
modern,27,7
modest,14,8
modification,3,1
moment,132,65
momentary,4,1
momentous,4,1
momentum,1,12
monday,1,1
monetary,1,1
money,27,95
monopoly,4,4
monstrous,4,1
month,24,132
monument,8,4
mood,2,1
moon,4,13
moral,83,22
morale,3,1
morality,4,1
morally,6,2
moreover,38,8
morning,22,11
moscow,1,1
mostly,20,5
mother,25,37
motion,5,1
motor,1,2
mountain,2,8
mounting,1,1
mouse,5,1
mouth,15,1
move,13,84
moved,16,15
movement,558,19
much,166,179
multinational,1,1
multiple,1,3
multitude,14,2
murdered,1,2
murderer,1,5
museum,1,3
music,4,3
must,698,340
mutual,33,21
mutually,1,1
mysterious,6,1
naive,1,1
naked,2,2
name,58,14
named,2,12
namely,110,1
narrow,10,7
nation,576,397
national,484,68
nationalism,6,1
nationalist,35,1
nationality,44,3
native,16,10
natural,76,24
naturally,52,1
nature,141,14
naval,12,1
navy,9,3
near,7,9
nearest,3,1
nearly,26,82
necessarily,26,3
necessary,232,46
necessity,56,8
need,84,365
needed,26,26
needle,1,2
negative,16,3
neglect,8,2
neglected,12,3
negotiate,1,6
negotiating,2,5
negotiation,5,19
neither,40,20
nerve,5,2
nervous,5,1
nest,1,2
net,3,7
neutral,2,1
never,273,151
nevertheless,18,3
new,362,507
newly,7,1
news,9,27
newspaper,43,3
next,23,182
night,19,32
nightmare,1,1
nihilism,1,1
nine,5,10
ninety,2,3
ninetyeight,2,1
noble,11,3
nobody,52,15
noise,2,3
non,4,1
none,16,28
normal,6,1
north,14,40
note,6,4
noted,5,3
nothing,149,56
notice,14,2
noticed,5,4
noting,1,3
notion,41,25
nourish,1,1
november,41,4
nowhere,5,4
number,125,62
numbered,3,1
nurse,1,9
nursing,1,1
nurtured,1,2
oath,1,12
objective,53,9
obligation,29,32
obliged,19,1
obscure,6,2
observation,5,1
observed,14,1
observer,10,1
obsolete,2,4
obstacle,18,5
obstinacy,5,1
obstruct,1,2
obstruction,1,1
obtain,10,2
obtaining,6,2
obvious,33,3
obviously,10,11
occasion,46,5
occasional,2,2
occasionally,9,1
occupation,16,8
occupy,6,3
occupying,4,3
occur,3,1
occurred,6,1
odds,2,8
offend,2,3
offensive,24,6
offer,28,52
offered,22,11
offering,6,10
office,30,89
officer,21,17
official,79,20
officially,2,1
often,136,52
oftentimes,1,2
oh,2,2
old,175,61
older,7,3
oldest,1,4
oldfashioned,1,1
one,868,531
onerous,1,1
onetenth,2,1
onethird,1,2
onto,1,6
open,50,77
opened,14,15
opening,4,8
openly,28,5
operate,4,7
operates,2,2
operation,13,12
opinion,136,16
opponent,46,15
opportunity,31,154
oppose,23,6
opposed,40,7
opposes,4,1
opposing,7,1
opposite,20,4
opposition,38,13
oppression,21,5
orbit,2,11
ordeal,4,1
order,211,44
ordered,9,14
orderly,2,2
ordinary,17,28
organ,8,1
organization,1,21
organized,1,6
orientation,6,3
origin,21,2
original,45,3
originally,13,2
originated,4,1
others,104,73
otherwise,47,6
ought,98,6
out,1,1
outcome,27,20
outlet,3,1
outline,5,2
outlook,21,1
outnumber,1,1
outrage,6,2
outset,16,3
outside,38,14
outsider,3,1
outstanding,16,15
outward,17,3
outwardly,6,1
overboard,3,1
overcome,35,14
overcoming,3,1
overcrowded,1,1
overjoyed,1,1
overnight,1,10
overthrow,15,3
overthrown,7,1
overwhelming,10,13
overwhelmingly,1,3
owe,10,10
owed,5,1
owes,13,1
owned,1,3
owner,1,31
ownership,2,3
pace,4,18
pacific,1,6
pack,2,2
packed,6,2
packing,1,2
page,4,10
paid,19,45
pain,9,20
painful,1,12
painfully,1,2
painstaking,6,5
paint,1,3
painted,2,2
palace,5,1
palestine,2,14
paltry,5,1
pan,4,1
paper,33,6
parade,6,2
parallel,1,1
paralysis,5,1
parent,15,72
paris,9,2
parliament,54,5
parliamentarian,31,1
parson,1,1
part,221,179
participate,11,10
participated,6,2
participating,5,5
participation,3,6
particular,59,17
particularly,47,22
partisan,2,18
partly,32,1
partner,4,51
party,401,120
pas,14,68
pass,2,1
passage,3,1
passed,39,52
passing,10,13
passion,11,23
passionate,8,2
passionately,1,2
passive,17,2
past,85,120
pastor,3,4
path,12,57
patience,5,2
patient,4,15
patriot,8,8
patriotic,16,2
patriotism,13,11
patrol,2,6
pattern,2,2
paul,1,5
pause,2,2
paved,1,1
pay,28,133
payday,2,1
paying,4,37
payment,6,10
peace,67,155
peaceful,16,35
peacefully,4,9
peak,4,4
pearl,1,2
pedigree,1,1
pen,5,1
penalty,4,8
penny,6,5
pension,4,7
people,985,947
per,11,9
perceived,7,2
percent,1,99
perception,4,1
perfect,5,24
perfected,1,2
perfectly,8,2
performance,7,5
performed,7,2
performing,5,2
perhaps,27,18
peril,7,10
perilous,2,1
period,79,19
perished,1,2
permanent,16,11
permanently,11,2
permit,11,4
permitting,1,1
perpetrated,1,2
perpetual,9,4
perpetually,5,1
persecuted,7,2
persecution,10,4
perseverance,11,2
persistence,2,1
persistent,20,6
person,124,34
personal,66,12
personality,26,1
personally,20,6
personnel,4,4
persuade,8,1
persuasion,3,1
persuasive,3,3
perverse,3,1
peter,3,1
petition,1,1
pettiness,2,3
petty,22,4
phase,13,2
philanthropist,1,1
philosopher,9,1
philosophical,2,2
philosophy,4,5
phrase,18,1
physical,62,2
physically,16,1
picked,1,3
picture,36,7
pie,1,1
piece,30,9
pillar,10,2
pilot,1,3
pinprick,1,2
piracy,1,2
pitch,9,2
place,210,178
placed,28,6
placing,7,1
plague,9,1
plain,2,6
plainly,2,3
plan,44,175
plane,9,8
planet,8,25
planned,4,5
plant,2,22
platform,6,2
play,46,39
played,24,6
player,1,2
playing,10,12
please,3,18
pleased,12,6
pleasure,6,3
pledge,4,14
pledged,2,8
plenty,3,7
plight,1,1
plot,1,9
plunged,2,3
pocket,3,20
poet,2,1
point,138,78
pointed,8,3
pointing,1,3
poison,31,5
poisoned,3,2
poisoning,10,1
poland,4,1
pole,5,2
police,23,20
policeman,1,3
policy,292,68
polish,7,1
political,423,72
politically,12,5
politician,32,12
politics,51,93
poll,1,9
pollution,4,14
poor,28,25
popular,31,7
population,78,7
port,2,3
portion,18,4
pose,3,12
position,155,22
positive,25,7
posse,45,4
possessed,26,1
possession,20,3
possibility,51,10
possible,227,74
possibly,14,2
post,13,5
posterity,20,2
postpone,2,2
potential,1,34
pounce,1,1
poured,4,1
poverty,9,55
power,296,160
powerful,19,27
powerless,3,2
practical,111,14
practice,58,17
praise,10,5
praised,6,1
pray,5,8
prayed,1,2
prayer,4,10
preach,1,1
preached,1,2
precaution,3,1
precious,8,10
precise,12,2
precisely,10,13
precision,1,1
preconceived,3,1
precondition,2,1
predatory,1,1
predecessor,2,4
predict,1,1
prefer,4,4
preferable,2,1
preference,2,3
pregnancy,1,5
pregnant,1,1
prejudice,12,3
preliminary,26,1
premise,6,3
prepare,14,10
prepared,26,19
prepares,4,2
preparing,11,5
prerequisite,24,1
prescription,2,16
presence,12,5
present,191,10
presented,38,4
presenting,7,1
preserve,36,7
preserving,12,2
president,7,268
press,100,11
pressed,4,1
pressure,10,18
presume,2,3
presumed,7,1
pretence,7,1
pretend,10,5
pretending,2,1
pretty,1,24
prevail,16,1
prevailed,4,2
prevails,2,2
prevent,47,52
prevented,11,5
preventing,6,7
prevention,2,1
preventive,2,6
prevents,6,7
previous,10,11
previously,20,4
price,3,28
pride,18,17
priest,10,1
primarily,10,2
primary,15,1
prime,1,9
principal,17,8
principle,267,59
print,4,3
prior,1,1
priority,2,31
prison,5,11
prisoner,1,5
pristine,1,1
private,17,43
privately,1,3
privilege,10,8
probably,31,16
probe,3,1
problem,190,120
procedure,10,1
proceed,3,4
process,92,54
proclaim,10,2
proclaimed,10,1
produce,26,17
produced,24,6
producing,8,1
product,43,35
production,22,11
productive,11,7
productivity,3,4
prof,9,1
profession,20,3
professional,12,11
profit,6,20
profitable,6,9
profound,53,14
profoundly,19,6
progeny,2,1
progress,59,128
progressed,1,1
progressive,10,4
prohibited,3,5
prohibiting,2,1
prohibition,2,1
prohibits,1,1
project,8,31
prolonged,3,2
prominent,2,4
promise,14,116
promised,6,17
promising,3,4
promote,18,23
promoted,3,2
promoting,8,7
promotion,4,6
pronounced,9,2
proof,42,7
propaganda,166,3
proper,12,2
properly,11,3
property,12,1
prophet,6,1
proportion,16,3
proposal,9,52
propose,1,7
proposed,5,20
proposes,1,1
proprietor,1,1
prospect,23,13
prosper,3,7
prosperity,11,70
protect,15,81
protected,17,12
protecting,3,13
protection,31,22
protective,5,1
protects,3,5
protest,27,12
protested,3,1
proud,12,40
prove,45,9
proved,63,7
provide,20,67
provided,23,11
providence,10,1
provides,8,7
providing,10,23
province,17,1
provincial,10,1
provision,6,10
provisional,1,1
provocation,7,2
provoked,4,2
prowess,6,1
prudent,1,2
public,245,65
publicity,1,1
publicly,8,7
publish,1,1
pull,2,15
pulled,3,6
pump,2,2
purchase,2,5
purchasing,1,1
purity,12,2
purpose,193,40
pursue,12,49
pursued,14,4
pursues,4,2
pursuing,4,7
pursuit,4,21
push,9,17
pushed,8,8
pushing,4,20
put,132,159
putting,23,24
q,1,14
qualification,7,1
qualified,6,2
quality,82,25
quarter,34,11
queen,4,4
question,243,107
questioned,2,2
quick,3,6
quicker,2,2
quickly,29,18
quiet,5,10
quietly,4,1
quit,1,5
quite,125,2
quitter,1,2
quo,3,17
quote,2,2
race,219,64
racial,132,13
rack,3,1
radical,18,3
rage,10,2
raging,3,2
raid,1,1
rail,1,6
railroad,1,11
railway,5,1
rain,2,3
raise,24,61
raised,28,15
raising,4,13
rallied,2,3
rally,7,7
rallying,3,2
rampant,1,1
ran,3,20
rang,1,1
range,1,9
rank,47,2
rapid,8,3
rapidly,16,8
rare,16,2
rarely,7,8
rat,4,1
rate,3,67
rather,194,34
rational,3,3
raw,3,3
ray,4,1
rd,2,1
reach,34,75
reached,38,10
reaching,7,16
react,1,1
reacted,2,1
read,53,17
readiness,15,1
reading,24,8
ready,64,18
real,123,55
realistic,3,3
reality,73,18
really,97,34
realm,8,1
reaping,3,1
reason,230,74
reasonable,7,5
reasoned,2,2
reasoning,7,1
reassured,1,1
rebellion,5,1
recall,10,5
receipt,2,1
receive,12,21
received,51,12
receives,10,1
receiving,3,1
recent,6,19
recently,5,14
receptive,1,1
recipe,2,4
recipient,2,3
reckoning,4,1
recognition,29,14
recommendation,2,2
recommended,7,1
reconciliation,1,6
reconstruction,4,1
record,3,25
recorded,1,1
recover,3,15
recovered,3,5
recovering,1,5
recovery,6,47
recrimination,1,2
recruit,16,7
red,50,16
reduce,2,53
reduced,7,8
reduces,1,3
reducing,3,16
reestablishing,6,1
refer,1,1
refined,1,1
reflect,5,16
reflected,7,2
reflecting,1,3
reflection,5,6
reflective,1,1
reform,17,191
reformer,4,1
refuge,5,1
refusal,15,1
refuse,12,21
refused,15,8
regain,4,2
regard,105,5
regardless,6,16
regime,37,30
region,13,81
regional,3,9
register,2,1
regret,6,3
regrouped,1,1
regular,3,1
regulate,1,2
regulating,5,1
regulation,4,26
reich,208,2
reign,5,1
reigned,4,2
rein,5,6
reinforce,9,2
reinforcement,4,2
reinforcing,2,1
reject,9,26
rejected,12,11
rejecting,2,3
rejection,2,6
related,1,3
relates,1,1
relation,42,17
relationship,6,21
relative,4,2
relax,1,1
release,2,6
relentless,1,7
reliable,4,2
reliance,1,1
relied,5,2
relief,6,12
relies,1,2
relieved,1,2
religion,37,31
religious,84,14
reluctance,3,1
rely,1,9
relying,1,3
remain,64,38
remained,52,2
remaining,5,3
remains,28,29
remark,12,9
remarkable,5,9
remarked,1,1
remember,27,42
remembered,15,4
remembering,4,1
remembrance,1,1
remind,6,17
reminded,3,13
reminder,1,5
remnant,3,3
removal,4,1
remove,6,12
removed,11,11
removing,7,4
render,22,1
rendered,28,2
renewed,5,8
renounce,8,1
rent,1,1
reopening,1,1
repair,5,9
repay,1,4
repeat,10,15
repeated,19,2
repeatedly,5,4
repeating,4,3
replace,6,14
report,10,14
reported,3,2
reporter,1,1
represent,15,12
representative,75,22
represented,26,6
representing,8,1
represents,22,9
repression,2,8
republic,52,6
republican,8,168
reputation,4,1
request,3,5
require,4,44
required,9,18
requirement,3,2
requires,3,29
requisite,14,1
rescue,2,7
rescued,2,4
reserve,11,5
reserved,4,2
reservoir,1,3
reshape,1,1
resign,3,1
resist,6,4
resistance,74,6
resisted,1,2
resolute,12,1
resolution,12,12
resolve,4,30
resolved,4,3
resort,6,2
resource,16,43
respect,41,58
respected,4,8
respective,11,3
respond,1,19
responded,1,5
responds,1,2
response,6,13
responsibility,73,137
responsible,55,37
responsive,1,3
rest,47,35
restaurant,5,2
rested,3,1
resting,1,1
restoration,15,4
restore,13,31
restored,10,4
restoring,5,5
restraint,1,3
restrict,4,3
restricted,7,1
restricting,3,1
restriction,4,2
result,246,39
resulted,27,1
resulting,12,1
resume,7,2
resurgence,10,2
retail,1,2
retain,13,2
retire,3,6
retired,4,3
retiring,1,1
retreat,3,2
retribution,8,1
return,21,25
returned,15,3
returning,2,3
reunited,1,1
reveal,5,1
revealed,8,2
revenue,1,12
reverend,1,10
reverse,12,12
reversed,2,3
review,2,8
reviewed,1,1
revise,1,1
revive,3,3
revolution,122,25
revolutionary,41,2
reward,9,21
rewarded,2,14
rhetoric,2,3
rich,5,17
richard,1,1
richer,1,2
rid,4,7
ridicule,8,1
rift,4,1
rig,1,5
right,222,520
righteous,3,1
rightful,1,1
rightly,10,4
rigid,8,4
rigorous,4,5
ripe,5,2
rise,35,22
risen,2,4
rising,7,27
risk,27,50
risked,2,1
risking,1,2
risky,2,5
ritter,1,2
rival,12,4
river,4,4
road,34,47
rob,2,5
robbed,12,1
robs,1,1
robust,8,2
rock,4,5
role,13,37
rome,7,1
room,21,21
root,19,13
rooted,2,17
rooting,2,1
rope,1,1
rose,1,3
rot,1,3
rotten,1,1
rough,5,2
roughly,2,5
round,20,9
route,9,3
routed,1,1
routine,4,4
row,3,2
royal,7,2
ruin,27,6
rule,32,100
ruling,14,2
run,43,33
rung,3,1
running,3,13
rural,1,16
rush,3,4
rushed,3,3
russia,60,16
russian,24,7
ruthless,26,2
ruthlessly,12,1
s,3,10
sa,1,1
sabotage,4,1
sacred,34,14
sacrifice,84,34
sacrificed,17,7
sacrificing,4,2
saddle,1,2
sadly,2,4
safe,4,47
safeguard,17,7
safeguarding,5,1
safely,4,10
safer,1,18
safety,3,29
said,73,170
sailing,2,1
sailor,1,1
sake,31,11
salary,6,12
salvation,4,4
sanction,4,22
sanctioned,2,2
sand,1,1
sang,1,2
sank,4,2
sap,1,2
sapping,1,1
sat,4,6
satisfaction,10,3
satisfied,10,2
satisfying,2,2
saturday,1,6
save,19,55
saved,16,17
saving,8,37
saw,38,40
say,115,177
saying,18,32
scale,30,8
scandal,4,1
scapegoat,1,1
scar,1,1
