Autor_in	Lebensdaten
Karl Simrock	(1802–1876)
Marie von Ebner-Eschenbach	geb. Freiin von Dubsky (seit 1843 Gräfin) (1830–1916)
Friedrich Hölderlin	(1770–1843)
Ulrich Bräker	(1735–1798)
Johann Jakob Engel	(1741–1802)
Ludovico Ariosto	(1474–1533)
Peter Cornelius	(1824–1874)
Christoph Ferdinand Heinrich Pröhle	(1822–1895)
Michael Denis	(1729–1800)
Odilo Schreger	(1697–1774)
Richard Fedor Leopold Dehmel	(1863–1920)
Ottilie Wildermuth	(1817–1877)
Johann Sebastian Mitternacht	(1613–1679)
Richard Wagner	(1813–1883)
Abraham a Sancta Clara	(1644–1709)
Johann Andreas Christian Löhr	(1764–1823)
Lev Nikolaevič Tolstoj	(1828–1910)
Johann Heinrich Voß	(1751–1826)
Ewald Christian von Kleist	(1715–1759)
Friedrich Nietzsche	(1844–1900)
Paul Heyse	(1830–1914)
(Johann Jakob) Wilhelm Heinse	(1746–1803)
Rudolf Bunge	(1836–1907)
Beatrice Dovsky	(1866–1923)
Wilhelm Jacoby	(1855–1925)
Johann Gottfried Herder	(1744–1803)
Johann Gottwerth Müller	(1743–1828)
Otto Ruppius	(1819–1864)
Karl Malß	(1855–1925)
Grete Meisel-Hess	(1879–1922)
Benjamin Neukirch	(1665–1729)
Johann Peter Hebel	(1760–1826)
Friedrich Wilhelm Gotter	(1746–1797)
Franz Grillparzer	(1791–1872)
Friedrich Blanckenburg	(1744–1796)
Wilhelm Heinrich Wackenroder	(1773–1798)
Oskar Panizza	(1853–1921)
Eduard Heinrich Gehe	(1793–1850)
Friedrich Wilhelm von Hackländer	(1816–1877)
Georg Weerth	(1822–1856)
Burkhard Waldis	(1490/1495–1556)
Friedrich Hebbel	(1813–1863)
Pierre de Bourdeille, Seigneur de Brantôme	(1540–1614)
Lily Braun	(1865–1916)
Hans Sachs	(1494–1576)
Dranmor (Ludwig Ferdinand Schmid)	(1823–1888)
Gustave Flaubert	(1821–1880)
Kurt Tucholsky	(1890–1935)
Heinrich Christian Boie	(1744–1806)
Franz Felix Adalbert Kuhn	(1812–1881) (1821–1899)
Salomon Gessner	(1730–1788)
Gabriel Marcel	(1843–1909)
Caroline de la Motte Fouqué	(1775–1831)
Heinrich Leopold Wagner	(1747–1779)
Johann Jacob Bräuner	(1647–1737)
Caspar Friedrich Gottschalck	(1772 – nach 1836)
Erdmuthe Dorothea von Zinzendorf	(1700–1756)
Friedrich Christoph Weisser	(1761–1836)
Ludwig Thoma	(1867–1921)
Hugo Ball	(1886–1927)
Christian Friedrich Hunold	(1681–1721)
Sophie Wörishöffer	(1838–1890)
Tirso de Molina	(1571–1648)
Charles Sealsfield	(1793–1864)
Justus Möser	(1720–1794)
Theodor Storm	(1817–1888)
Caroline von Wolzogen	(1763–1847)
Christian Wernicke	(1661–1725)
Nicolas Chorier	(1612–1692)
Wilhelm Busch	(1832–1908)
Georg Gloger	(1603–1631)
Wilhelm Arent (Hg.)	(1864–?)
Moritz August von Thümmel	(1738–1817)
Gaius Suetonius Tranquillus	(um 70 n. Chr. – 140)
Sophie Bernhardi	(1775–1833)
Johann Nestroy	(1801–1862)
Ernst Elias Niebergall	(1815–1843)
Ernst (Heinrich) Meier	(1813–1866)
Lukas von Bostel	(1649–1716)
Ernst Schulze	(1789–1817)
Johann Gottlieb (der Jüngere) Stephanie	(1741–1800)
Eduard Devrient	(1801–1877)
Maria Katharina Stockfleth	(1634–1692)
Christiane Benedikte Eugenia Naubert	(1756–1819)
Oscar Wilde	(1854–1900)
Justus Georg Schottel(ius)	(1612–1676)
Ovid	(20.3.43 v. Chr. – um 18 n. Chr.)
Johann Fischart	(1546–1590)
Christoph August Tiedge	(1752–1841)
Christian Gryphius	(1649–1706)
Emmanuel Geibel	(1852–1815)
Christian Graf zu Stolberg	(1748–1821)
Ernst Moritz Arndt	(1769–1860)
Friedrich Kaiser	(1814–1874)
August Adolph von Haugwitz	(1647–1706)
Jodocus Deodatus Hubertus Temme	(1798–1881)
Friederike Kempner	(1836–1901)
Alexander Schöppner	(1820–1860)
Heinrich Lautensack	(1881–1919)
Fëdor Michajlovič Dostoevskij	(1821–1881)
Jos Murer	(1530–1580)
Reinhard Johannes Sorge	(1892–1916)
Anton Ulrich	(1633–1714)
Christian Hölmann	(1677–1744)
Valentin Voigt	(1487/88– nach 1558)
Gerhard Tersteegen	(1697–1769)
Emil Friedrich Julius Sommer	(1819–1846)
Friedrich (Maler) Müller	(1749–1825)
Dante Alighieri	(1256–1321)
Friedrich Gustav Schilling	(1766–1839)
Franz von Schönthan	(1849–1913) (1853–1905)
Theodor Körner	(1791–1813)
Friedrich von Bodenstedt	(1819–1892)
Karl Friedrich Kretschmann	(1738–1809)
Jens Baggesen	(1764–1826)
August Heinrich Hoffmann von Fallersleben	(1798–1874)
Johann Friedrich Schink	(1755–1835)
Karoline Stahl	(1776–1837)
Georg Forster	(1754–1794)
Therese Huber	(1764–1829)
Percy Bysshe Shelley	(1792–1822)
Lukian(os)	(um 120 – nach 180)
Jean-Baptiste Boyer, Marquis d' Argens	(1704–1771)
Ludwig Bechstein	(1801–1860)
Joseph Felix von Kurz	(1717–1784)
Hilarius Salustius	
Georg Rollenhagen	(1542–1609)
Antoine-François Prévost d'Exiles	(1697–1763)
Ludwig Rubiner	(1881–1920)
Christoph Martin Wieland	(1733–1813)
Albert (Gustav) Lortzing	(1801–1851)
Georg Christoph Lichtenberg	(1742–1799)
Georg Paul Hönn	(1662–1747)
Nikolaj Vasilevič Gogol	(1809–1852)
Gottfried August Bürger	(1747–1794)
Albert Dulk	(1819–1884)
Franz Michael Felder	(1839–1869)
Clemens Brentano	(1778–1842)
Johannes Praetorius	(1630–1680)
Molière	(1622–1673)
Walter Flex	(1887–1917)
Samuel Gotthold Lange	(1711–1781)
Christiana Mariana von Ziegler	(1695–1760)
Christian Reuter	(1665–nach 1712)
Theodor Fontane	(1819–1898)
Thomas Murner	(1475–1537)
Émile Edouard Charles Zola	(1840–1902)
Christian Gottlob Klemm	(1736–1802)
Jakob Wassermann	(1873–1934)
Moritz von Strachwitz	(1822–1847)
Felix Dahn	(1834–1912)
Aloys Blumauer	(1755–1798)
Bartholomäus Krüger	(um 1500–1597)
Roger de Bussy-Rabutin	(1618–1693)
Conrad Ferdinand Meyer	(1825–1898)
Eugenie Marlitt	(1825–1887)
Imre Madách	(1823–1864)
Josef August von Törring	(1753–1826)
Gotthard Ludwig Kosegarten	(1758–1818)
Horace Walpole	(1717–1797)
Anonym	
Jules Verne	(1828–1905)
Gotthold Ephraim Lessing	(1729–1781)
François René Vicomte de Chateaubriand	(1768–1848)
Paul Gerhardt	(1607–1676)
Christoph Friedrich Bretzner	(1746–1807)
Johann Gottlieb Meister	(1665–1699)
Johann Heinrich Rumpel	(1650–1699)
Johannes Pauli	(Mitte 15. Jh.–nach 1520)
Ulrich von Hutten	(1488–1523)
Diego Hurtado Mendoza	(1503–1575)
Cornelius Hermann von Ayrenhoff	(1733–1819)
Albert Ludewig Grimm	(1786–1872)
Joseph Alois Gleich	(1772–1841)
Christian Fürchtegott Gellert	(1715–1769)
Emil Gerhäuser	(1868–1917)
Johann Christian Brandes	(1735–1799)
Jean Bodin	(1529/30–1596)
Karoline Pichler	(1769–1843)
Klabund	(1890–1928)
Catharina Regina von Greiffenberg	(1633–1694)
Johann Jakob Dusch	(1725–1787)
Wilhelm von Polenz	(1861–1903)
Betty Paoli	(1814–1894)
Gottfried von Straßburg	(2. Hälfte 12. Jh. – 1. Hälfte 13. Jh.)
Albrecht von Haller	(1708–1777)
Johann Georg Theodor Grässe	(1814–1885)
Theodor Johann Quistorp	(1722–1776)
Bertha von Suttner	(1843–1914)
Hesiodos	(7. Jh. v. Chr. – ?)
Sixt Birck	(1501–1554)
Karl von Holtei	(1798–1880)
Matthäus Hammer	(1600–1665)
Johann Philipp Praetorius	(1696–1766)
Gerrit Engelke	(1890–1918)
Anakreon	(um 580 v. Chr. – 495 v. Chr.)
Wilhelm Heinrich von Riehl	(seit 1883) (1823–1897)
Stendhal	(1783–1842)
Jacob Balde	(1604–1668)
Mark Twain	(1835–1910)
Robert Hamerling	(1830–1889)
Sophie Mereau	(1770–1806)
