Autor_in	Lebensdaten
Georg Büchner	(1813–1837)
Decimus Iunius Iuvenalis	(um 55–130 n. Chr.)
Wilhelmine Karoline von Wobeser	(1769–1807)
Joseph von Eichendorff	(1788–1857)
Wilhelm Hauff	(1802–1827)
Wolfgang Schmeltzl	(nach 1500–um 1561)
August von Kotzebue	(1761–1819)
Jacob Ludwig Carl Grimm	(1785–1863) (1786–1858)
Ignaz Franz Castelli	(1781–1862)
Wilhelm Schäfer	(1781–1831)
Paul-Marie Verlaine	(1844–1896)
Hugo von Hofmannsthal	(1874–1929)
Literatur	
Friedrich Rückert	(1788–1866)
Sándor Petöfi	(1823–1849)
Pedro Calderón de la Barca	(1600–1681)
Ada Christen	(1839–1901)
Margareta Sophia Liebeskind	(1765–1853)
Lewis Carroll	(1832–1898)
Karl Immermann	(1796–1840)
Michel Verne	(1861–1925)
Johann Christoph Gottsched	(1700–1766)
Luise Adelgunde Victorie Gottsched	(1713–1762)
Šams oʾd-Din Moḥammad Ḥāfeẓ	(1324/1326–1389/1390)
Anna Ovena Hoyers	(1584–1655)
Friedrich Wilhelm Bruckbräu	(1792–1874)
Friedrich Schlegel	(1772–1829)
Otto Ludwig	(1813–1865)
Nikolaus Ludwig von Zinzendorf	(1700–1760)
Oskar Blumenthal	(1852–1917)
Franz Xaver von Schönwerth	(1810–1886)
Joseph Franz Ratschky	(1757–1810)
Johannes Kolroß	(vor 1490–1558 oder 1560)
Julius Roderich Benedix	(1811–1873)
Julius von Soden	(1754–1831)
Max Dauthendey	(1867–1918)
Gustav Sack	(1885–1916)
Heinrich Wilhelm von Gerstenberg	(1737–1823)
Johann Emanuel Schikaneder	(1751–1812)
Lord George Gordon Noel Byron	(1788–1824)
Leopold Jacoby	(1840–1895)
Andreas Glorez	(ca. 1620–ca. 1700)
Adolf Glaßbrenner	(1810–1876)
Carl Spindler	(1796–1855)
Adolph Müllner	(1774–1829)
Laurentius von Schnüffis	(1633–1702)
Carlo Goldoni	(1707–1793)
